unit_id,family,feature,value,numerator,denominator,units,period,status,strict_cross_city_accepted
CHI:32,U2,jobs_density_2022_gross_km2,108505.19503624532,466726.79016524577,4.301423448060153,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:33,U3,population_density_2020_gross_km2,6233.150247299192,28798.433260132606,4.620205212061252,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:33,U2,jobs_density_2022_gross_km2,2802.7245142110996,12949.162408529963,4.620205212061252,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:34,U3,population_density_2020_gross_km2,5385.316103809775,13881.200708027092,2.5776018418319047,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:34,U2,jobs_density_2022_gross_km2,2223.58003432487,5731.503991936435,2.5776018418319047,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:35,U3,population_density_2020_gross_km2,4751.303609960663,20291.337787901382,4.270688521222364,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:35,U2,jobs_density_2022_gross_km2,1503.4345313450626,6420.700595424683,4.270688521222364,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:36,U3,population_density_2020_gross_km2,4328.70441736754,6796.677327622411,1.5701412414192386,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:36,U2,jobs_density_2022_gross_km2,124.79134534079114,195.9400378917667,1.5701412414192386,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:37,U3,population_density_2020_gross_km2,1372.943101507727,2538.453208613054,1.8489136263734431,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:37,U2,jobs_density_2022_gross_km2,538.2315210959692,995.143593498043,1.8489136263734431,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:38,U3,population_density_2020_gross_km2,5462.484057883711,24590.143148544354,4.501641174230013,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:38,U2,jobs_density_2022_gross_km2,714.5691585150937,3216.7339458064384,4.501641174230013,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:39,U3,population_density_2020_gross_km2,7083.872836197324,19117.61966341555,2.698752519346187,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:39,U2,jobs_density_2022_gross_km2,493.6217115383993,1332.162837618232,2.698752519346187,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:40,U3,population_density_2020_gross_km2,3230.8524508882997,12709.007950724199,3.9336392311044563,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:40,U2,jobs_density_2022_gross_km2,187.96603177858916,739.3905567192852,3.9336392311044563,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:41,U3,population_density_2020_gross_km2,7035.009243149577,29456.711227004733,4.187160273554516,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:41,U2,jobs_density_2022_gross_km2,7006.2100797707635,29336.12451419336,4.187160273554516,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:42,U3,population_density_2020_gross_km2,4550.776166687227,24424.12977046742,5.367025069098742,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:42,U2,jobs_density_2022_gross_km2,506.3961492937464,2717.8408281546062,5.367025069098742,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:43,U3,population_density_2020_gross_km2,7074.802114777027,53730.69823315374,7.594657399805894,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:43,U2,jobs_density_2022_gross_km2,397.26067511735397,3017.0587259318977,7.594657399805894,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:44,U3,population_density_2020_gross_km2,4156.777325123962,31765.927122923207,7.641960258714579,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
