GEOID20,COUNTYFP20,POP20,jobs,wac_row_present,inside_weight,outside_population,outside_jobs
170314905001020,031,37,0.0,False,1.0,0.0,0.0
170316811003000,031,0,0.0,False,0.9999999999999997,0.0,0.0
170314409003008,031,0,0.0,False,1.0000000000000002,-0.0,-0.0
170317115002023,031,63,0.0,False,1.0,0.0,0.0
170313012002000,031,103,0.0,False,0.9999999999999998,2.2870594307278225e-14,0.0
170316204001003,031,58,0.0,False,1.0000000000000002,-1.2878587085651816e-14,-0.0
170316007002014,031,0,0.0,False,1.0000000000000004,-0.0,-0.0
170316119002007,031,0,0.0,False,1.0000000000000002,-0.0,-0.0
170318413002030,031,0,0.0,False,0.9999999999999938,0.0,0.0
170312909002019,031,18,0.0,False,1.0,0.0,0.0
170314911005007,031,40,0.0,False,0.9999999999999999,4.440892098500626e-15,0.0
170316403006004,031,37,0.0,False,0.9999999999999999,4.107825191113079e-15,0.0
170316501003007,031,66,0.0,False,1.0,0.0,0.0
170317002003014,031,65,0.0,False,1.0,0.0,0.0
170317203004014,031,76,0.0,False,1.0000000000000002,-1.687538997430238e-14,-0.0
170317002001013,031,109,0.0,False,1.0,0.0,0.0
170316503021025,031,86,0.0,False,1.0,0.0,0.0
170317105003002,031,69,0.0,False,1.0000000000000002,-1.532107773982716e-14,-0.0
170316608003006,031,109,0.0,False,0.9999999999999998,2.4202861936828413e-14,0.0
170317104005011,031,68,0.0,False,1.0,0.0,0.0
170318364003012,031,40,0.0,False,1.0000000000004075,-1.6298074001497298e-11,-0.0
170313903002005,031,298,99.0,True,1.0000000000000002,-6.616929226765933e-14,-2.19824158875781e-14
170318436002002,031,89,0.0,False,0.9999999999999999,9.880984919163893e-15,0.0
170318436002020,031,88,0.0,False,1.0,0.0,0.0
170313904001005,031,15,0.0,False,1.0,0.0,0.0
170313901001001,031,0,0.0,False,0.9749914171815998,0.0,0.0
170314106001008,031,78,0.0,False,1.0000000000000002,-1.7319479184152442e-14,-0.0
170318346001023,031,4,0.0,False,1.0000000000000002,-8.881784197001252e-16,-0.0
170316121001029,031,0,0.0,False,1.0,0.0,0.0
170318399005008,031,7,30.0,True,0.9999999999999745,1.787459069646502e-13,7.66053886991358e-13
170318399003012,031,82,0.0,False,1.0,0.0,0.0
170318398003000,031,195,0.0,False,1.0,0.0,0.0
170318397003010,031,52,0.0,False,1.0000000000000002,-1.1546319456101628e-14,-0.0
170318397003016,031,75,0.0,False,0.9999999999999999,8.326672684688674e-15,0.0
170318400001015,031,93,1.0,True,1.0000000000000002,-2.0650148258027912e-14,-2.220446049250313e-16
170316716001014,031,22,0.0,False,1.0,0.0,0.0
170316716003009,031,55,0.0,False,1.0000000000000002,-1.2212453270876722e-14,-0.0
