unit_id,window,radius_m,population_weight,weighted_departures,expected_departures_per_resident,population_reached,reach_fraction,support_points,strict_cross_city_accepted
CHI:34,saturday_am,400,13881.200708026794,256355.4630284183,18.467816179632138,9248.083300256525,0.6662307890202054,328,False
CHI:34,saturday_am,800,13881.200708026794,815316.1837860893,58.73527808834529,13881.200708026794,1.0,328,False
CHI:34,sunday_am,400,13881.200708026794,227897.59122584973,16.41771457811053,9248.083300256525,0.6662307890202054,328,False
CHI:34,sunday_am,800,13881.200708026794,747205.2246392862,53.82857292793233,13881.200708026794,1.0,328,False
CHI:34,weekday_am,400,13881.200708026794,489697.6649146117,35.27775984331416,13881.200708026794,1.0,328,False
CHI:34,weekday_am,800,13881.200708026794,1302670.6648104067,93.84423525099946,13881.200708026794,1.0,328,False
CHI:35,saturday_am,400,20291.337787900284,920865.4271134883,45.38219395581695,20290.925453982225,0.9999796793132928,339,False
CHI:35,saturday_am,800,20291.337787900284,1559746.9431127394,76.86762496471849,20291.337787900284,1.0,339,False
CHI:35,sunday_am,400,20291.337787900284,862815.6427868145,42.521377930109225,20290.925453982225,0.9999796793132928,339,False
CHI:35,sunday_am,800,20291.337787900284,1456680.0859193846,71.78827247102467,20291.337787900284,1.0,339,False
CHI:35,weekday_am,400,20291.337787900284,1559497.8268527808,76.85534798906697,20291.304437017396,0.9999983563980238,339,False
CHI:35,weekday_am,800,20291.337787900284,2802898.1524722595,138.13274323113512,20291.337787900284,1.0,339,False
CHI:36,saturday_am,400,6796.677327622323,206056.2702911034,30.317206534680075,6796.677327622323,1.0,192,False
CHI:36,saturday_am,800,6796.677327622323,378252.97484054347,55.652630926480576,6796.677327622323,1.0,192,False
CHI:36,sunday_am,400,6796.677327622323,206110.10844558603,30.32512778088428,6796.677327622323,1.0,192,False
CHI:36,sunday_am,800,6796.677327622323,370754.0646574675,54.54931090382779,6796.677327622323,1.0,192,False
CHI:36,weekday_am,400,6796.677327622323,299422.528293077,44.05425090230432,6796.677327622323,1.0,192,False
CHI:36,weekday_am,800,6796.677327622323,574322.2902916116,84.50044964728764,6796.677327622323,1.0,192,False
CHI:37,saturday_am,400,2538.4532086130685,62800.91082741796,24.73983393285804,2538.4532086130685,1.0,207,False
CHI:37,saturday_am,800,2538.4532086130685,176288.50543110556,69.44721487595356,2538.4532086130685,1.0,207,False
CHI:37,sunday_am,400,2538.4532086130685,58478.5611518433,23.037084533771715,2538.4532086130685,1.0,207,False
CHI:37,sunday_am,800,2538.4532086130685,163435.19803798484,64.38377413593561,2538.4532086130685,1.0,207,False
CHI:37,weekday_am,400,2538.4532086130685,104842.84948521067,41.30186411531041,2538.4532086130685,1.0,207,False
