unit_id,district_name,gross_area_m2,cmap_proxy_water_m2,population_allocated,jobs_allocated,hydro_water_m2,hydro_land_m2,population_density_2020_gross_km2,jobs_density_2022_gross_km2
CHI:16,IRVING PARK,8319173.245334982,33006.998919039426,51933.29351071703,11086.29858987329,31786.558371683306,8287386.686963276,6242.602717744685,1332.6202331571815
CHI:17,DUNNING,9617716.436107114,0.0,43127.031065861614,5502.165785828892,3793.523618624744,9613922.912488507,4484.123788881198,572.0865053966968
CHI:18,MONTCLARE,2560171.673085884,0.0,14394.445688369802,2331.380275287581,0.0,2560171.6730858805,5622.453306429862,910.6343530773734
CHI:19,BELMONT CRAGIN,10128559.056784386,0.0,78136.42700019416,9632.061702876355,3482.296448573821,10125076.760335838,7714.466249555631,950.980455252866
CHI:20,HERMOSA,3026664.271465896,0.0,24111.85617805001,3926.067581359443,0.0,3026664.2714658966,7966.478609922593,1297.159919047758
CHI:21,AVONDALE,5132936.209682022,18116.983732604465,36256.68496346299,9172.472768999094,34887.41453099191,5098048.795151032,7063.537024885225,1786.9835887883196
CHI:22,LOGAN SQUARE,9288854.881953834,3853.062948274286,71683.36269248633,20028.45922801557,87565.55428347454,9201289.327670394,7717.136676529533,2156.18173419055
CHI:23,HUMBOLDT PARK,9328244.684562545,0.0,54077.22178726293,8825.050340288026,0.0,9328244.684562542,5797.148725821499,946.0569098163492
CHI:24,WEST TOWN,11842194.028135978,4012.813819273861,87901.14009687192,43260.79272640158,172611.52129679333,11669582.506839197,7422.70730305776,3653.106225385082
CHI:25,AUSTIN,18498319.92524273,0.0,96558.01191510794,13878.405507250804,29407.178801484686,18468912.74644122,5219.826033138571,750.2522155167394
CHI:26,WEST GARFIELD PARK,3350730.606758987,0.0,17441.598690531762,3539.8296718065385,0.0,3350730.6067589857,5205.31213561279,1056.4351740680397
CHI:27,EAST GARFIELD PARK,5002269.903132768,0.0,20001.533442239004,6252.617307909791,58120.341558786015,4944149.561573984,3998.4914507936996,1249.9560057712936
CHI:28,NEAR WEST SIDE,14713428.325045448,855.8843906100176,67783.01048215397,151845.20278357752,113330.58356167842,14600097.741483783,4606.880801993141,10320.178236441609
CHI:29,NORTH LAWNDALE,8307642.494482472,0.0,34778.06522215354,5404.519008116288,39726.478588693535,8267916.015893777,4186.2736925970785,650.5478553880604
CHI:30,SOUTH LAWNDALE,11882815.954581944,359440.2238913664,71410.3003945707,13164.456502166604,445756.286753173,11437059.667828772,6009.543585250541,1107.85663537021
CHI:31,LOWER WEST SIDE,7570662.2062242115,164483.9517470051,33726.46074317615,19280.787314568253,400409.41118384385,7170252.795040352,4454.889126534793,2546.776859059512
CHI:32,LOOP,4301423.448060153,9442.847665941237,42383.69480736055,466726.79016524577,332216.4665798086,3969206.9742547343,9853.41139256463,108505.19503624532
CHI:33,NEAR SOUTH SIDE,4620205.2120612515,43.22829775302565,28798.433260132606,12949.162408529963,34242.99271816377,4585962.216158811,6233.150247299192,2802.7245142110996
CHI:34,ARMOUR SQUARE,2577601.841831905,3886.8148065049754,13881.200708027092,5731.503991936435,39112.0808371918,2538489.7609947138,5385.316103809775,2223.58003432487
CHI:35,DOUGLAS,4270688.521222364,0.0,20291.337787901382,6420.700595424683,1.510119413081676,4270687.011101916,4751.303609960663,1503.4345313450626
CHI:36,OAKLAND,1570141.2414192385,0.0,6796.677327622411,195.9400378917667,179.00465331055582,1569962.236283348,4328.70441736754,124.79134534079114
CHI:37,FULLER PARK,1848913.626373443,0.0,2538.453208613054,995.143593498043,0.0,1848913.626373443,1372.943101507727,538.2315210959692
CHI:38,GRAND BOULEVARD,4501641.174230013,0.0,24590.143148544354,3216.7339458064384,0.0,4501641.17423001,5462.484057883711,714.5691585150937
CHI:39,KENWOOD,2698752.5193461874,0.0,19117.61966341555,1332.162837618232,15.654398535351056,2698736.8642326407,7083.872836197324,493.6217115383993
CHI:40,WASHINGTON PARK,3933639.2311044564,0.0,12709.007950724199,739.3905567192852,133154.8096488765,3800484.4214555826,3230.8524508882997,187.96603177858916
CHI:41,HYDE PARK,4187160.273554516,0.0,29456.711227004733,29336.12451419336,99393.89422299176,4087766.378389483,7035.009243149577,7006.2100797707635
CHI:42,WOODLAWN,5367025.069098742,0.0,24424.12977046742,2717.8408281546062,222904.07862572838,5144120.988207085,4550.776166687227,506.3961492937464
CHI:43,SOUTH SHORE,7594657.399805894,657.4125908045781,53730.69823315374,3017.0587259318977,254.62286633391412,7594402.77379821,7074.802114777027,397.26067511735397
CHI:44,CHATHAM,7641960.258714579,0.0,31765.927122923207,4220.016835559055,0.0,7641960.258714577,4156.777325123962,552.2165377328049
CHI:45,AVALON PARK,3235392.223975368,0.0,9407.324205063285,2868.68206825583,0.0,3235392.223975368,2907.6302203336527,886.6566615935807
CHI:46,SOUTH CHICAGO,8658353.316413738,3366.1529064864085,27299.43409662869,2526.150752069818,120144.71319682813,8538208.598256476,3152.959125019401,291.75879751649376
CHI:47,BURNSIDE,1577750.4900127081,0.0,2527.5781400178976,1691.188478362213,0.0,1577750.490012709,1602.0138520112512,1071.8985600496255
CHI:48,CALUMET HEIGHTS,4532529.506122129,0.0,13086.262815046184,2510.534865539746,0.0,4532529.506122116,2887.18756212628,553.8926690159973
CHI:49,ROSELAND,12468599.090501223,0.0,38824.46132996832,1929.8516109008185,5334.262073046105,12463264.828428175,3113.778945667233,154.7769398064142
CHI:50,PULLMAN,5477165.108303168,0.0,6820.789918776474,2908.8033235424537,0.0,5477165.108303165,1245.3139140239582,531.0782614774241
CHI:51,SOUTH DEERING,28201380.17173013,157754.5428692821,14108.127491839256,9434.340089447403,5006272.426323268,23195107.74540686,500.2637248932109,334.5346941177246
CHI:52,EAST SIDE,7727178.703392426,35895.51197096119,21717.522627206235,1754.7651270062916,411005.56803090323,7316173.134059432,2810.537126269863,227.0900149152634
CHI:53,WEST PULLMAN,9224313.72146977,26468.84139879874,26092.44616527453,1120.5762457053936,97488.83540853682,9126824.886061234,2828.659882257024,121.4807171071416
CHI:54,RIVERDALE,9133600.2635281,9472.345950265468,7175.120183181246,756.9355317799628,963613.1405236783,8169987.123004403,785.5741412105177,82.87373105242247
CHI:55,HEGEWISCH,13549805.897309886,237346.59489617718,10017.338298454764,1937.3991873322761,2749498.076950386,10800307.82035949,739.2975496751255,142.983538068019
CHI:56,GARFIELD RIDGE,10944726.480271464,40104.60993474626,35474.40248642316,10476.84266277705,49809.23626102156,10894917.244010415,3241.2324374088225,957.2502959906943
CHI:57,ARCHER HEIGHTS,5191636.034741252,0.0,14203.192754916241,9765.112133125855,0.0,5191636.034741254,2735.783606530137,1880.9315729723612
