district_id,family,squared_distance_contribution,contribution_fraction
89,M1,0.01836464227371486,0.011904978099157519
90,M1,0.029076422008550273,0.033922989101642674
91,M1,0.05640011231369563,0.02684299127905268
92,M1,0.08998821051519308,0.03036773724514789
93,M1,0.0068023943669945144,0.0037832026225485898
94,M1,0.0003059967640560644,0.00011025166588328471
95,M1,0.00030747704957536124,8.337757381383092e-05
96,M1,0.03895803002733734,0.01277735735054333
01,M2,0.205772945448967,0.1267963930719113
02,M2,0.12183536170122812,0.033245707898716094
03,M2,0.5277646601675007,0.044473315725203695
04,M2,0.4601417115844114,0.19050139693249402
05,M2,0.27410319166848296,0.10335838711103087
06,M2,0.0003612123283005429,0.00020059705037476936
07,M2,0.026475287284016803,0.02231070831053942
08,M2,0.002360353555397069,0.008166507627502017
09,M2,0.009265380882299954,0.023501638635905826
10,M2,0.0,
11,M2,0.08177982945006135,0.02081342362736187
12,M2,0.05219548111584731,0.016546920396467196
13,M2,0.0561600045132373,0.017174393481219956
14,M2,0.031007653855992454,0.0667126384433979
15,M2,0.1835002182659369,0.11051641973758371
16,M2,0.02563194714808545,0.011294615712038885
17,M2,0.2540856344331906,0.08866183724564708
18,M2,0.08790929726181111,0.029531595433884946
19,M2,0.37192821963723083,0.12250871748264766
20,M2,0.3337410214122406,0.22692304367132501
21,M2,0.22266173871250586,0.13511466839514058
22,M2,0.470420589700717,0.16415752659269084
23,M2,0.029171525706768908,0.007520434658891356
24,M2,0.1772271128860563,0.06541605319708893
25,M2,0.028337984876070886,0.00517269821217351
26,M2,0.0012259654544534194,0.001082781203702099
27,M2,0.05522883488496796,0.017772261446359197
28,M2,0.1290047556893516,0.050075745431720026
29,M2,0.3391414364086712,0.12517204899600207
30,M2,0.1902677942423705,0.02239920928301139
31,M2,0.06001661238339198,0.022812218667557015
32,M2,0.06878732992309006,0.053254799830691674
33,M2,0.0028701859449021382,0.0005563827396477961
34,M2,0.08711575961470097,0.09165466507543578
35,M2,0.284808565279516,0.2159503345152194
36,M2,0.34793731974386777,0.12246213298848821
37,M2,0.20655247260025425,0.09853205721139296
38,M2,0.22103097822240003,0.10864605798889534
39,M2,0.3077608425447026,0.09269439526318633
40,M2,0.05346877165916094,0.013515070269956953
41,M2,0.021862201231745818,0.006638935807814646
42,M2,0.06466660858007633,0.012802525665926228
43,M2,0.007452870980550974,0.0015890240575730003
44,M2,0.13926744775250952,0.040261453307914224
45,M2,0.01928869594412991,0.018850298442111467
46,M2,0.026181617552274813,0.008375894018665984
47,M2,0.014060157490825499,0.003536526175125287
48,M2,0.009672953457369725,0.0121594442968153
49,M2,0.05921735634296794,0.07859307338362963
50,M2,0.3351933484983754,0.1367683258805319
51,M2,0.0011288430663235582,0.0003043725280145781
52,M2,8.862525506806167,0.11955079868474322
53,M2,0.03742242843299483,0.054002007968346526
54,M2,0.0430908937995413,0.01263746475949195
55,M2,1.7329782926710706,0.08668714144435741
56,M2,0.07383742805314536,0.056905100203994585
57,M2,0.16929678161749587,0.035444786149309244
58,M2,0.0014666608474435295,0.000335476214204865
59,M2,0.185400038243873,0.10924786726647309
60,M2,0.05195945994010022,0.04037007875361099
61,M2,0.2818675846235872,0.03295988209480197
62,M2,0.12357021761878303,0.21143610039873345
63,M2,0.09808010729867848,0.03042671910722681
64,M2,0.47177085759225934,0.16166239250130085
65,M2,0.017086691624556546,0.003471775835688085
66,M2,0.5114845648970275,0.21217137141389703
67,M2,0.3589443587445324,0.09143060192309921
68,M2,0.2585151451912598,0.09361967949065897
69,M2,0.004153181185724693,0.004566626155522346
70,M2,0.0801293816679712,0.06990238409169143
71,M2,0.077978507753405,0.056172871890957835
72,M2,0.37826403456942825,0.1406339200133587
73,M2,0.2687664666402002,0.1222521666328278
74,M2,0.28174032316517145,0.11783040749424517
75,M2,0.24079010845599633,0.06419114508992155
76,M2,0.6086787080576783,0.17967317005794792
77,M2,0.03274832922014039,0.024194533658564547
78,M2,0.33291873625265284,0.1735155857724678
79,M2,0.0033546406786115666,0.0011696315907255934
80,M2,0.1426838989751146,0.19909588217649649
81,M2,0.309179863989696,0.036769270142172
82,M2,0.2771766931427225,0.11386200976622744
83,M2,0.014778632975223001,0.005408587095724378
84,M2,0.37427749147211986,0.13007678439267692
85,M2,0.3709570964786373,0.19806755090312633
86,M2,0.08458722110379618,0.04938053975357676
87,M2,0.5064245818881926,0.14296987152437607
88,M2,0.00403957837889101,0.0020204211791917392
89,M2,0.14020736279615373,0.09089017681645255
90,M2,0.20457251485238553,0.2386714290290739
91,M2,0.2354408618081213,0.1120553974271675
92,M2,0.6402372593742855,0.2160567118283715
93,M2,0.15027077476573494,0.08357421791722992
94,M2,0.12425955585742562,0.04477113696760589
95,M2,0.08094781390474554,0.02195036129763878
96,M2,0.30231493914030844,0.09915249839616927
01,M3,0.008757928638056675,0.005396597495671206
02,M3,0.06516999785301449,0.017783200887886676
03,M3,0.37078099108865975,0.031244721987175858
04,M3,0.20027993556323342,0.08291708085096455
05,M3,0.1539888956001114,0.058065883090796924
06,M3,0.034818174384108135,0.01933605952417861
07,M3,0.018317870024716475,0.015436457803369965
08,M3,5.916160232896024e-05,0.00020469123177329187
09,M3,0.024628974836530208,0.062471394747160076
10,M3,0.0,
11,M3,0.15160651960453572,0.03858470650303828
12,M3,0.01111404765670264,0.0035233560056632113
13,M3,0.05977266342159856,0.01827918729566857
14,M3,0.006055879276383196,0.013029160042179123
15,M3,0.015405072874778334,0.009277991688542339
16,M3,0.07021409747454989,0.03093956319279928
17,M3,0.06784602626703647,0.023674511752979736
18,M3,0.0830281489697421,0.027891858783677413
19,M3,0.11763067911066144,0.03874614206073396
20,M3,0.05234557398468459,0.03559171995418209
21,M3,0.008216530252068486,0.004985920647104518
22,M3,0.055400552348566424,0.019332524648199286
23,M3,0.08683311730273356,0.022385623277548693
24,M3,0.08989682050030186,0.03318169041030277
25,M3,0.47912005231940097,0.0874565869410779
26,M3,0.04034609690523591,0.03563395299030648
27,M3,0.0441566878055305,0.014209320220491276
28,M3,0.02463891962970717,0.009564083591312656
29,M3,0.05305556177889779,0.019582017015744434
30,M3,0.11856852904141738,0.013958438457505886
31,M3,0.043653300251049645,0.01659254981814061
32,M3,0.14488445485989732,0.11216880566188005
33,M3,0.2259091870159002,0.043792275063836844
34,M3,0.06537704229242965,0.06878331706498785
35,M3,0.03879052135928529,0.029412128302167672
36,M3,0.09855598433199621,0.03468836303320692
37,M3,0.08329473307960782,0.03973422008407137
38,M3,0.02292805211361088,0.011270105663656386
39,M3,0.12515084961763465,0.037694146617419634
40,M3,0.028140452040542545,0.00711294041278251
41,M3,0.031249881322788345,0.009489710295162733
42,M3,0.1705455965829836,0.03376417018623509
43,M3,0.06558454584340254,0.013983258454644754
44,M3,0.21835329218841265,0.06312473603807187
45,M3,0.09782877831378385,0.0956053054485106
46,M3,0.05526584783213307,0.017680377592004366
47,M3,0.15877790014090365,0.03993712020979409
48,M3,0.03717432584170125,0.04673020978917655
49,M3,0.0026207569087555054,0.0034782596314760195
50,M3,0.0691959200754312,0.028233884081759104
51,M3,0.06471845768298433,0.01745018520451122
52,M3,5.22895288000889,0.0705358187809866
53,M3,0.004720691537132292,0.006812140010121808
54,M3,0.06243712932211462,0.01831122429631442
55,M3,0.17787468765818684,0.008897658022380572
56,M3,0.10917086241020786,0.08413590544266995
57,M3,0.02971400122533592,0.006221065805325986
58,M3,0.03588804437816888,0.008208840703827299
59,M3,0.014344914232180931,0.008452809939148076
60,M3,0.08025038837454429,0.062350811621656975
61,M3,0.1427395523376878,0.016691095649035863
62,M3,0.0005729037796777734,0.000980272944508848
63,M3,0.026938182740543007,0.008356847704189768
64,M3,0.1932552814817442,0.0662230628812027
65,M3,0.09634455986210033,0.01957586185663517
66,M3,0.08382104452649151,0.03477021046394901
67,M3,0.03425327112486389,0.00872502135911928
68,M3,0.07237456600878142,0.026210006643923076
69,M3,0.09826513920059646,0.10804733402720228
70,M3,0.009387795913083002,0.00818962160983507
71,M3,0.026498151328154473,0.01908830141518885
72,M3,0.150046983882319,0.05578562485743981
73,M3,0.14799665928301456,0.06731833951588187
74,M3,0.2751245380586017,0.11506353108037642
75,M3,0.13349773092983808,0.035588555818349035
76,M3,0.13460219987200783,0.039732626799039356
77,M3,0.0456562033518866,0.03373089788165848
78,M3,0.12853638864014602,0.06699252501981943
79,M3,0.04964894462720064,0.017310639095390167
80,M3,0.019851640093808427,0.027700250872850257
81,M3,0.1586425828865667,0.01886659729691351
82,M3,0.02469613181451884,0.010144977090136753
83,M3,0.03967192935215561,0.014518872314935496
84,M3,0.15690353051582373,0.05453041439676562
85,M3,0.01696322327033568,0.009057284846340169
86,M3,0.0373865105453419,0.021825590746932796
87,M3,0.15829835030072809,0.044689566056673756
88,M3,0.06365800585529825,0.03183896218656003
89,M3,0.012452128755899107,0.008072159420118205
90,M3,0.04301319613340287,0.0501827970178438
91,M3,0.06950199166903781,0.033078681579074454
92,M3,0.08155801726978003,0.027522854655119038
93,M3,0.05449902408485098,0.030310040806299707
94,M3,0.029696324283133735,0.010699685772578507
95,M3,0.028375795789224483,0.007694574314439635
96,M3,0.13466917749056037,0.04416846035831863
01,M4,0.1529761668048005,0.09426324794299205
02,M4,0.09833689081604724,0.026833585110990717
03,M4,0.502470042937892,0.042341806014334585
04,M4,0.1776451608573054,0.07354614991344063
05,M4,0.12463018861214711,0.04699534945902729
06,M4,0.11490369491300945,0.06381106200100159
07,M4,0.14503019708422663,0.1222168578816382
08,M4,0.002842942433316064,0.009836200603565567
09,M4,0.0315732931505002,0.08008565817149471
10,M4,0.0,
11,M4,0.37636658160661746,0.09578739836996217
12,M4,0.1658517707508097,0.05257803912441673
13,M4,0.1992419134780205,0.0609305332092014
14,M4,0.002808879719323023,0.006043274928714923
15,M4,0.05697354619077875,0.03431337795813149
16,M4,0.11626212215190164,0.05123044238447315
17,M4,0.26942351682795856,0.09401391012301143
18,M4,0.14018632530898265,0.047093151388280935
19,M4,0.37701393898890084,0.1241838927512989
20,M4,0.012925940608607063,0.008788832049497387
21,M4,0.10497464573014122,0.06370027706483891
22,M4,0.31171717762495577,0.10877653316136136
23,M4,0.4184252426491981,0.10787024746682658
24,M4,0.37548651694397256,0.1385953061425122
25,M4,0.2748357782792345,0.05016738293719581
26,M4,0.04111319419644802,0.03631145864539493
27,M4,0.1261587474788058,0.040597022345456035
28,M4,0.12243986546181468,0.0475274535484894
29,M4,0.30122502733116674,0.11117766758080175
30,M4,0.37726569751827166,0.04441347179990179
31,M4,0.2295963361908857,0.08726920128377302
32,M4,0.13785918614211756,0.10672987846786788
33,M4,0.35258253621781815,0.06834777997615991
34,M4,0.030216430973783594,0.03179076751354877
35,M4,0.016772689182364818,0.012717552353443882
36,M4,0.30594384049213763,0.10768185289504954
37,M4,0.12051265711791813,0.05748834606700843
38,M4,0.1359713362412046,0.0668356526351942
39,M4,0.12475968000037371,0.03757633035847802
40,M4,0.18288495751048217,0.04622704010909843
41,M4,0.22706507089892253,0.0689532775732505
42,M4,0.3167714054322007,0.06271357254270417
43,M4,0.40361754157273416,0.08605515717248213
44,M4,0.1259440124739116,0.036409721434981834
45,M4,0.04204770307356748,0.04109203411354765
46,M4,0.37192546695269774,0.11898456189037053
47,M4,0.11384918482325929,0.028636281094778393
48,M4,0.16428719644538736,0.2065182079766607
49,M4,0.08494625105786197,0.11274037470346426
50,M4,0.20840525032757382,0.0850352112287025
51,M4,0.3421146776188463,0.0922451600264283
52,M4,0.3585375904056017,0.004836483151284033
53,M4,0.13280514735285467,0.19164295118974872
54,M4,0.21458966677436933,0.06293369926898756
55,M4,0.2019041806079771,0.010099662723180382
56,M4,0.046380379897715804,0.03574447587311953
57,M4,0.12868185439574575,0.026941450196371564
58,M4,0.40075647691443916,0.09166690849331609
59,M4,0.12541511999108268,0.07390146470181427
60,M4,0.06450087119640324,0.050114170795407524
61,M4,0.5686561390750674,0.06649519249057735
62,M4,0.014686914911218232,0.025130197838576698
63,M4,0.33371567740794994,0.10352632616161932
64,M4,0.10677964376964535,0.036590332794902855
65,M4,0.6624618025577313,0.13460293711164775
66,M4,0.03175609336606227,0.01317289776199138
67,M4,0.33932459435404244,0.0864330394204145
68,M4,0.2133332787557773,0.07725734276431291
69,M4,0.05503580150004039,0.06051455965467731
70,M4,0.1297372047058803,0.11317870830342147
71,M4,0.050729896502267426,0.036543966528251315
72,M4,0.2618441516651582,0.09735043809586594
73,M4,0.08629141627900777,0.039250851245689125
74,M4,0.050229942884165324,0.021007339567024094
75,M4,0.2534548063480752,0.06756736957490295
76,M4,0.304731971083715,0.08995247991725332
77,M4,0.068471337721114,0.05058676654934798
78,M4,0.08739447043916627,0.0455495623412986
79,M4,0.08543983097867681,0.029789516968558423
80,M4,0.06439479768432183,0.08985414012812422
81,M4,0.41718449521853507,0.049613740060145704
82,M4,0.1398235201185085,0.0574384044804379
83,M4,0.14756226725243746,0.054003870034218936
84,M4,0.13877269796541938,0.04822920620163067
85,M4,0.19585291361062968,0.10457302826752354
86,M4,0.10240811117530788,0.05978406358539243
87,M4,0.33922491932968857,0.09576735582938173
88,M4,0.1741471084008704,0.08710079941677283
89,M4,0.1782259127679777,0.11553590625840887
90,M4,0.13610138676272077,0.15878727645762455
91,M4,0.0569762825298806,0.027117212933121044
92,M4,0.13718345234347495,0.046294409137578756
93,M4,0.18996906369758865,0.10565271891187855
94,M4,0.37875618597451877,0.13646713093880605
95,M4,0.29469071073562625,0.07991034296882646
96,M4,0.24989997238932404,0.08196156856156982
01,M6,0.02935404134737637,0.01808783247384748
02,M6,0.1376097950336227,0.03755014132029204
03,M6,0.6057777607303667,0.051047270963004696
04,M6,0.10921827591078949,0.04521701381933319
05,M6,0.08760736301246226,0.033034842406980416
06,M6,0.04360002308557667,0.02421300532123999
07,M6,0.03840095884238521,0.032360464397857905
08,M6,0.01718482819413559,0.0594572072492383
09,M6,0.008834634546128924,0.022409050552908524
10,M6,0.0,
11,M6,0.26821794486228895,0.06826296592227754
12,M6,0.35077164719474074,0.11120101586163585
13,M6,0.28892312038308676,0.08835610677544403
14,M6,0.013428033806490568,0.028890272334003292
15,M6,0.06305041614864819,0.03797328592609536
16,M6,0.15381809294055673,0.06777933175677746
17,M6,0.2762954122040645,0.09641182164116781
18,M6,0.19443956150157393,0.06531858000758829
19,M6,0.21001592692785348,0.06917674029670555
20,M6,0.02526398773654255,0.017177933261520836
21,M6,0.06961994145958898,0.04224648275179006
22,M6,0.1430295559884606,0.04991145935099086
23,M6,0.18787727508129715,0.0484348602586666
24,M6,0.1736241422481115,0.06408616571496942
25,M6,0.24005839346362828,0.04381926337095025
26,M6,0.007549208005658286,0.006667512939839348
27,M6,0.08963476015093004,0.028843852951125896
28,M6,0.1028556354451671,0.03992544762592135
29,M6,0.30486415483877455,0.11252081529966697
30,M6,0.3521299610020271,0.041454376042514715
31,M6,0.19303262278079936,0.07337139211919591
32,M6,0.05231976624311711,0.040505696057414525
33,M6,0.3162802494365275,0.06131061717117546
34,M6,0.013944742797482724,0.014671291811254462
35,M6,0.015804184609960917,0.011983203348929642
36,M6,0.20233248671174697,0.07121417131633286
37,M6,0.10670516009941845,0.0509017336239518
38,M6,0.18489606253914487,0.09088422127116362
39,M6,0.3274145697936037,0.09861389544047051
40,M6,0.22888385604480607,0.057853982841108875
41,M6,0.10658105476731895,0.03236566956038869
42,M6,0.349807435888171,0.06925395926004917
43,M6,0.22986185089362132,0.04900876614413357
44,M6,0.28433731346080104,0.08220035373911366
45,M6,0.027080657996855897,0.02646516315712048
46,M6,0.21368667632756905,0.0683615880702218
47,M6,0.11446007115861426,0.028789936238144954
48,M6,0.04538992013151221,0.05705767198285429
49,M6,0.08729027394931874,0.11585135389095456
50,M6,0.21018519483375836,0.08576147871390676
51,M6,0.1429493763986866,0.03854376606509142
52,M6,0.8246485272789653,0.01112407405707157
53,M6,0.0035667882647083607,0.005147013070973261
54,M6,0.1915488695825072,0.05617641862641573
55,M6,0.5112450300391556,0.025573528773646857
56,M6,0.02422697259968638,0.018671266588975628
57,M6,0.1623165484572687,0.033983371057582534
58,M6,0.2573186662479403,0.058857705343107906
59,M6,0.041618360623097095,0.024523819845277618
60,M6,0.03653602600396298,0.028386789408980137
61,M6,0.39470138990870673,0.04615398145699649
62,M6,0.029127928289641957,0.04983964331320968
