district_id,family_id,feature_name,coverage_fraction,coverage_definition,quality_status,n_entities,n_missing
47,M3,block_log_area_median,1.0,eligible source records,computed,364,0
47,M3,block_log_area_iqr,1.0,eligible source records,computed,364,0
47,M4,block_compactness_median,1.0,eligible source records,computed,364,0
47,M4,block_compactness_iqr,1.0,eligible source records,computed,364,0
47,M4,block_elongation_median,1.0,eligible source records,computed,364,0
47,M4,block_elongation_iqr,1.0,eligible source records,computed,364,0
47,M7,cadastral_parcel_density_km2,1.0,eligible source records,cadastral_proxy,9749,0
47,B2,cadastral_floor_count_median,0.8935275412862858,eligible source records,cadastral_proxy,8711,1038
47,B2,cadastral_floor_count_p90,0.8935275412862858,eligible source records,cadastral_proxy,8711,1038
47,B3,cadastral_floor_area_density,,district source completeness unknown; city fiscal mass located 97.3032%,cadastral_proxy,38220,0
47,U1,land_use_entropy_count,0.9785619037850036,eligible source records,cadastral_proxy,9540,209
47,U2,formal_job_density_area_first_km2,0.9055505418680443,citywide allocated fraction; district missing mass unknown,incomplete_geographic_proxy,206,0
47,U3,population_density_km2,0.9994809179733173,citywide source population within district union,area_allocated_proxy,324,0
48,M1,street_density_km_km2,1.0,eligible source records,computed,1834,0
48,M6,street_class_model_share_arterial,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M6,street_class_model_share_coletora,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M6,street_class_model_share_local,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M6,street_class_model_share_rodovia,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M6,street_class_model_share_via_de_pedestres,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M6,street_class_model_share_vtr,0.7475068330607331,eligible source records,assumed_local_residual,1834,0
48,M2,intersection_density_proxy_5m_km2,1.0,eligible source records,approved_proxy,782,0
48,M3,block_log_area_median,1.0,eligible source records,computed,361,0
48,M3,block_log_area_iqr,1.0,eligible source records,computed,361,0
48,M4,block_compactness_median,1.0,eligible source records,computed,361,0
48,M4,block_compactness_iqr,1.0,eligible source records,computed,361,0
48,M4,block_elongation_median,1.0,eligible source records,computed,361,0
48,M4,block_elongation_iqr,1.0,eligible source records,computed,361,0
48,M7,cadastral_parcel_density_km2,1.0,eligible source records,cadastral_proxy,15802,0
48,B2,cadastral_floor_count_median,0.9715858752056702,eligible source records,cadastral_proxy,15353,449
48,B2,cadastral_floor_count_p90,0.9715858752056702,eligible source records,cadastral_proxy,15353,449
48,B3,cadastral_floor_area_density,,district source completeness unknown; city fiscal mass located 97.3032%,cadastral_proxy,50847,0
48,U1,land_use_entropy_count,0.985318314137451,eligible source records,cadastral_proxy,15570,232
48,U2,formal_job_density_area_first_km2,0.9055505418680443,citywide allocated fraction; district missing mass unknown,incomplete_geographic_proxy,280,0
48,U3,population_density_km2,0.9994809179733173,citywide source population within district union,area_allocated_proxy,247,0
49,M1,street_density_km_km2,1.0,eligible source records,computed,800,0
