unit_id,district_id,district_name,gross_area_m2,water_area_m2,land_area_m2,b3_unavailable,block_compactness_iqr_experimental,block_compactness_median_experimental,block_elongation_iqr_experimental,block_elongation_median_experimental,block_log_area_iqr_experimental,block_log_area_median_experimental,building_coverage_municipal_gross,building_coverage_municipal_land,building_stories_coverage,building_stories_median_municipal,building_stories_p90_municipal,footprint_overlap_excess_fraction,land_use_entropy_cmap_area8,land_use_share_agriculture,land_use_share_commercial,land_use_share_industrial,land_use_share_institutional,land_use_share_open_space,land_use_share_residential,land_use_share_transport_utilities,land_use_share_vacant_construction,lui_ambiguous_gross,lui_classified_land,lui_coverage_gross,lui_overlap_gross,lui_secondary_use_area_fraction,m2_unavailable,m7_unavailable,population_density_acs_label2023,road_share_code_1,road_share_code_2,road_share_code_3,road_share_code_4,road_share_code_7,road_share_code_9,road_share_code_99,street_density_municipal_km_km2,u2_unavailable,u4_unavailable
CHI:11,11,JEFFERSON PARK,6022237.97074972,0.0,6022237.970749725,,0.11217309027903055,0.6908940175695244,0.7294272855990145,2.018498598661565,0.4051646227301635,9.911281478090235,0.2403130572687329,0.24031305726873278,0.5146948003014318,1.0,2.0,3.2176207430397353e-16,0.573426385774678,0.0,0.06335077969588168,0.05017551329263103,0.023391537728035375,0.1265448420258256,0.6456280116060262,0.08652310428982375,0.004386211361776404,2.6033212590613567e-09,0.7082965619639294,0.9999999907068148,1.038838021564061e-08,0.002199806861449023,,,4481.888648554988,0.07232007279317972,0.056766099976526416,0.15875470539639783,0.682823923882778,0.0,0.029335197951118032,0.0,14.44717111832642,,
CHI:12,12,FOREST GLEN,8274696.336238334,0.0,8274696.336238333,,0.08330231456314219,0.6937690217707696,0.46933395034307424,1.9828349700269863,0.34313434773936,9.910850134271083,0.1439267903620229,0.14392679036202288,0.6016629604563473,1.0,2.0,8.583256714493699e-08,0.5263790152503949,0.0,0.03416274428495948,0.006948064611801699,0.02987281377861211,0.31180709043058785,0.5677661212809554,0.04803736545011272,0.0014058001629707,3.8862977839892146e-08,0.738957872600429,0.9999999492435488,5.258070313757765e-08,0.0021629787287275838,,,2388.3655903419212,0.03429528927130992,0.10827325885208139,0.09557156303968908,0.7387062279940849,0.0,0.02315366084283481,0.0,12.158543114987971,,
CHI:13,13,NORTH PARK,6525331.184540938,0.0,6525331.18454093,,0.014178136758528415,0.6986438379168105,0.19313453343915632,1.9731308242732601,0.03930828425579058,9.923796024961458,0.16063847330221562,0.16063847330221578,0.5554040231844528,2.0,2.0,6.339593588442629e-06,0.7258174689494794,0.00020820368001279272,0.052529383518624254,0.05097133476687978,0.2921353433698793,0.18634654779922277,0.36934827287989674,0.04442191290849076,0.004039001076993536,2.5355539724363446e-08,0.8361220933673165,0.9999999577355868,2.6537507527619295e-08,0.0870361110068786,,,2951.4210781555735,0.032386478760420286,0.1261881019441105,0.20565534706553723,0.6241167335832521,0.0,0.011653338646679813,0.0,7.87447642132458,,
CHI:14,14,ALBANY PARK,4970648.800632658,25257.995057998567,4945390.805574665,,0.00916302338869146,0.6988369975237567,0.10703717266836121,1.9897615074436699,0.038952588373717845,9.927409461503636,0.308664485841777,0.31022845823428746,0.5133680703852396,2.0,3.0,0.0006875634755137131,0.4746670742895898,0.0,0.14022495222025716,0.013049470683294,0.06637782807531663,0.03390413449307224,0.7156896001060117,0.025734556025286237,0.005019458396762076,3.4516606748387406e-09,0.685035364491731,0.9999999840183033,1.2885253246972674e-08,0.0010797804655536404,,,9622.48630277646,0.02250401353068774,0.09182236048697551,0.08461525864720491,0.7980628486307314,0.0,0.0029955187044006706,0.0,14.524904518340769,,
CHI:15,15,PORTAGE PARK,10230362.674821753,0.0,10230362.674821762,,0.005389085175239172,0.6975276043225459,0.03586442783685495,2.0081164245775,0.03774502347896913,9.933716908060987,0.28767932720056194,0.28767932720056166,0.5081973321409942,1.0,2.0,2.99911796574388e-05,0.4374639836960032,0.0,0.10387479410051911,0.009492660300794362,0.05147301359123272,0.03953692557353013,0.7583545655259047,0.03063841747074736,0.006629623437271584,3.221709630979433e-09,0.7004789151387371,0.9999999828106452,3.502031633638298e-09,0.004856821093400633,,,6275.535094958752,0.0125177039869656,0.10489495196864078,0.10082140381385439,0.7785040399161202,0.0,0.003261900314418914,0.0,14.131933727878913,,
CHI:16,16,IRVING PARK,8319173.245334982,33006.998919039426,8286166.24641593,,0.07941189734317167,0.69824862341599,0.2208268148770225,1.9968394673656933,0.25023174685311744,9.927680369080823,0.26249902031752476,0.2635446552495562,0.5034806822137139,2.0,2.0,5.2000230867402015e-05,0.5750621372026966,0.0,0.10655220968281669,0.041484140448271506,0.05053744620098797,0.06645473388515066,0.6589642263055194,0.06896274348579864,0.0070444999914551385,9.144318411189952e-09,0.6873588868463906,0.9999999817549964,1.3778787052486703e-08,0.002896861458156024,,,6435.134648748903,0.06273458261249869,0.07368698989350919,0.11489263202909561,0.6758676737999357,0.0,0.07281812166496078,0.0,15.328458486778704,,
CHI:17,17,DUNNING,9617716.436107114,0.0,9617716.436107133,,0.009758863690704,0.6979041057619104,0.10063687664813936,1.998638993135439,0.04167826424137466,9.92992650687489,0.23646523154189472,0.23646523154189428,0.5010095689579492,1.0,2.0,1.7158264038694254e-05,0.5126170715873289,0.0,0.05011098099628381,0.015849677113702273,0.20426590056151328,0.049896126587475276,0.6573995967915959,0.00910847586397407,0.013369242085455296,3.2639009504742485e-09,0.7368192962080734,0.9999999937882343,1.2077904683502098e-08,0.005403682439664967,,,4423.919158217749,0.0,0.09256193650597541,0.11101745737909319,0.7964206061149315,0.0,0.0,0.0,12.449717081463639,,
CHI:18,18,MONTCLARE,2560171.673085884,0.0,2560171.6730858805,,0.054341680244254564,0.7001919343796982,0.48385682865133894,1.9851744193858212,0.01130627186064359,9.928149803929458,0.2570184723627654,0.2570184723627658,0.5,1.0,2.0,1.7698055690581147e-05,0.5084961295399274,0.0,0.12978896091350364,0.03579666797270401,0.0646230174031889,0.023031298364856873,0.7034602545707239,0.030896363867124146,0.012403436907898593,7.571424583947806e-10,0.717089038694411,0.9999999998542596,7.571423098890114e-10,0.0008895455226170896,,,5372.686583716673,0.0,0.022696198928089793,0.14269086767337225,0.834612933398538,0.0,0.0,0.0,12.63279663930372,,
CHI:19,19,BELMONT CRAGIN,10128559.056784386,0.0,10128559.056784412,,0.0033524323536900935,0.6970090174213056,0.028098473373817434,2.014232869375626,0.011101571142548394,9.92832559246616,0.30206587255593714,0.30206587255593637,0.5083680300432688,1.0,2.0,3.9876310796350453e-07,0.5843049441406991,0.0,0.16115699639359465,0.06082569758267735,0.08451901881811207,0.036607368258919123,0.6245596257535831,0.026191816501826466,0.006139476691287215,4.75978603026443e-09,0.7088592160089191,0.9999999165192911,2.5185896096909388e-08,0.004881140024511871,,,7304.889035567287,0.0,0.09215488490117534,0.10373293926528555,0.804112175833539,0.0,0.0,0.0,12.901866928744925,,
CHI:20,20,HERMOSA,3026664.271465896,0.0,3026664.2714658966,,0.0047836394632619905,0.6981515394224762,0.03183006331688287,1.9984769939001057,0.016831071828518063,9.9339090141346,0.3194568041413686,0.31945680414136857,0.507420091324201,2.0,2.0,1.9403494869347236e-10,0.6006860451416307,0.0,0.07591169809983325,0.20862298249311578,0.0360655521227253,0.029114947038877768,0.5879132082889493,0.05700894947843456,0.005362662478064219,5.647581558263502e-10,0.7125396684645704,0.999999999534658,6.124428253189491e-10,0.0,,,7665.204303866714,0.0,0.05878541994802109,0.12889709244244238,0.8123174876095363,0.0,0.0,0.0,13.203248343154227,,
CHI:21,21,AVONDALE,5132936.209682022,18116.983732604465,5114819.225949423,,0.15896356857744465,0.690559069641222,0.3625506056315273,2.0060454517432547,0.3918691025286556,9.923584311351444,0.30471240230912605,0.3057917111550278,0.49869592589261624,2.0,2.0,4.716730048739269e-07,0.6601594542442335,0.0,0.16876648725579288,0.11045248899682415,0.03380593108694127,0.0096967861104108,0.5312809275572972,0.12888987924696985,0.01710749974576413,4.971280722826853e-08,0.7190637349250439,0.9999999306749133,5.5730269964483654e-08,0.002510208209236831,,,7081.716685166409,0.07247116533263512,0.07405338070532609,0.16547824697426197,0.6151312985402695,0.0,0.07286590844750719,0.0,14.978330334359189,,
CHI:22,22,LOGAN SQUARE,9288854.881953834,3853.062948274286,9285001.819005582,,0.16562446838996125,0.6969066094802424,0.7982066874626803,2.0035024282932117,0.4801975360202242,9.767015424005066,0.2958924653245408,0.2960152539159738,0.5008688541347235,2.0,3.0,7.426992656629865e-06,0.6096913354167661,0.0,0.1772169769258647,0.05800709854603367,0.04345634558703521,0.027245304844330423,0.6055327266626783,0.07164760678404018,0.016893940650017477,8.14927657129274e-09,0.6739232376484632,0.9999999856767647,1.4927512137914592e-08,0.005309698534427831,,,7681.67884058829,0.06549385965101766,0.06431418196017287,0.16978306954489392,0.6723531830772759,0.0,0.028055705766639624,0.0,15.583456479088943,,
CHI:23,23,HUMBOLDT PARK,9328244.684562545,0.0,9328244.684562542,,0.010334184101944532,0.6972836848478118,0.05417528589704479,2.0088511150385475,0.06720355304161885,9.927796016554211,0.2646339208917719,0.264633920891772,0.5317486160859655,2.0,2.0,0.00010817011264637408,0.772170565523314,0.0,0.10256788054338088,0.19582035076622586,0.08859568779901898,0.009551565720948592,0.4201922662754586,0.1195945707326592,0.06367767816230795,2.9721329321588924e-08,0.7297354140962393,0.9999999073160724,3.372423354184999e-08,0.013783675725700878,,,5897.679773671157,0.0,0.11005442309088043,0.18633965462030683,0.7036059222888128,0.0,0.0,0.0,12.295102481845802,,
CHI:24,24,WEST TOWN,11842194.028135978,4012.813819273861,11838181.21431671,,0.11999841609778794,0.6961768058755985,0.8330194259979082,2.0007748692986844,0.518896130616886,9.87992882908793,0.28161314569502954,0.28170860471042,0.4974658493025052,2.0,3.0,1.941154005092038e-05,0.7641782060622734,0.0,0.14502936781635697,0.09222225282938916,0.0639479635257316,0.12266866164106471,0.4700162382445453,0.07621830595995516,0.029897209982957154,2.2622326273784567e-08,0.6930477564679788,0.9999999643307103,1.3650351354403642e-07,0.0016020650338986425,,,7300.420833723508,0.05181154562618233,0.08154682531908466,0.12357455216588907,0.6975938508837586,0.0,0.04547322600508516,0.0,15.336428506263767,,
CHI:25,25,AUSTIN,18498319.92524273,0.0,18498319.925242703,,0.053549535096588774,0.6990107747427735,0.43104192797318763,1.9855789559238632,0.2727424526117215,9.93882002627229,0.24910939505150087,0.2491093950515012,0.5429684941376826,2.0,2.0,1.96331906678462e-06,0.7348583594325008,0.0,0.07532176746225175,0.14147296157265937,0.06632142480012983,0.06007750884121599,0.5196003657292217,0.07064250062633282,0.0665634709681884,3.2436670798198764e-07,0.7300527840230219,0.9999999871355161,3.256288492773588e-07,0.00025057514241271433,,,5420.924732908369,0.024969160895489322,0.10478361056307635,0.09139878315462586,0.7652947834660884,0.0,0.013553661920719998,0.0,12.359798686206883,,
CHI:26,26,WEST GARFIELD PARK,3350730.606758987,0.0,3350730.6067589857,,0.05010510782273059,0.6954679091184941,0.4865750756219287,2.0181309680319903,0.24064963134453343,9.92767624459546,0.22562109000984756,0.22562109000984767,0.5888223552894212,2.0,2.0,2.643551216591817e-07,0.7637722459205798,0.0,0.07866818840823525,0.0727689740805637,0.07547565933695242,0.011975902451901657,0.4161949747410995,0.1121213300104065,0.23279497097084106,2.3989696339153948e-08,0.6718575009241978,0.9999999585901084,7.712385204260757e-08,0.0,,,4878.040618075767,0.0636726572136061,0.07176187850146448,0.14554784271872676,0.693957275404793,0.0,0.025060346161409647,0.0,15.751180823142112,,
CHI:27,27,EAST GARFIELD PARK,5002269.903132768,0.0,5002269.90313277,,0.1318876622697407,0.6958787663952793,0.8339364918233172,2.011928438238897,0.5219667302253548,9.925057628600557,0.17456145596148612,0.17456145596148592,0.493801652892562,2.0,3.0,0.0002817353254116052,0.8659233073504514,0.0,0.05281910502447543,0.07924466860898254,0.10174784550237909,0.20001713549481293,0.292785682321399,0.09379341886683662,0.17959214418111433,4.4539206781082195e-07,0.7364907814797662,0.9999999721913635,4.4562251730374206e-07,0.004813991927110453,,,3969.198060977362,0.06576909754848043,0.061796179901619286,0.2035585182351466,0.6389793879798599,0.0,0.029896816334893904,0.0,14.728226991562675,,
CHI:28,28,NEAR WEST SIDE,14713428.325045448,855.8843906100176,14712572.440654857,,0.3747359126260683,0.6913252844323954,2.5903346450853495,1.9929849144368283,1.55507003938445,9.522161336431235,0.2374950745011185,0.23750889046212242,0.40817855002995806,2.0,4.0,8.06276955852704e-05,0.863274267389229,0.0004178131863934517,0.17556563909797873,0.09680679198932439,0.20817146683708243,0.021878035411841468,0.2104337679714046,0.21256950312285922,0.07415698238311576,2.4925446144237974e-06,0.72625411117559,0.9999999517651129,3.129941796799914e-06,0.004837647044294464,,,4442.880242174835,0.07341142357121433,0.0883806608822619,0.1175391036913029,0.6429396209108521,0.0,0.0777291909443688,0.0,14.47369544905029,,
