district_id,block_compactness_iqr,block_compactness_median,block_elongation_iqr,block_elongation_median,block_log_area_iqr,block_log_area_median,building_coverage_land,bus_service_access_weekday_am_400m,cadastral_floor_area_density,cadastral_floor_count_median,cadastral_floor_count_p90,cadastral_parcel_density_km2,formal_job_density_area_first_km2,intersection_density_proxy_5m_km2,land_use_entropy_count,population_density_km2,street_class_model_share_arterial,street_class_model_share_coletora,street_class_model_share_local,street_class_model_share_rodovia,street_class_model_share_via_de_pedestres,street_class_model_share_vtr,street_density_km_km2,district_name
17,0.2767348977278154,0.5901665787288205,1.2944556550710657,2.3148098300675537,0.9331305092168485,9.048710163697958,0.38381525946318384,160.28949540015017,0.4570246322059746,1.0,2.0,2009.877627071576,1589.78451317971,126.4808035049783,0.4086035883365306,18784.52708619877,0.020476648012803477,0.1656627546589914,0.7894432312878985,0.0,0.0244173660403067,0.0,21.08100208623864,CAMPO LIMPO
18,0.2293610749368259,0.6069880704676998,1.204257610193796,2.0879423649084408,0.88752041637402,9.021427110253182,0.29334278792611074,183.5118162277387,0.3415379982934197,2.0,2.0,1619.1724031882336,771.9432804847905,97.50012040800435,0.3618868405982742,10231.98670666561,0.09009631323748056,0.1391547322464761,0.7470458191175537,0.01846171049784411,0.00524142490064537,0.0,16.678551456232498,CANGAIBA
19,0.29784331174808676,0.5536025825448128,1.4046309943916087,2.260416272614823,1.2451156760359865,9.013204328729643,0.41434418236201376,216.1598709365207,0.38066169474943284,1.0,2.0,2265.6172654903826,1479.728608557343,144.41921421210688,0.39330421162129303,19538.806743738405,0.034585209301192736,0.189471473554502,0.757485242688928,0.0,0.018458074455377112,0.0,22.74588880077275,CAPAO REDONDO
20,0.1849560199690271,0.7134704430285851,0.9347762139475349,1.6938336483164926,0.8429593950253906,9.142311920379292,0.4414181573998574,266.94802053312117,0.7317065752656273,2.0,2.0,2425.0706382351636,4170.313460376031,138.71287612889407,0.43417591753523166,10811.096536989282,0.12348099059508005,0.3150100744842282,0.5588817284364643,0.0,0.0026272064842274277,0.0,21.52131415693004,CARRAO
21,0.20502647782458017,0.6295998643116427,1.1650219182390509,2.1160494409539523,1.085866192278857,9.337056347202488,0.3590464021237646,176.63302470892157,0.7247494133994118,2.0,2.0,2321.1084530084495,4894.622951971874,121.47675676669618,0.46866655906622806,11234.617246177142,0.10937785596727767,0.23636969581529482,0.6523503528882423,0.0,0.0018346277387969905,6.746759038827765e-05,20.33221244081116,CASA VERDE
22,0.27836466549313865,0.5890497140168331,1.4269850899622645,2.2155802260318387,0.9676069766913056,9.079289470363234,0.3995685471234061,255.9968702905417,0.5453981748147961,2.0,2.0,2883.030218852479,1892.0326013653935,158.85919046946438,0.3748894021154968,20214.80043657243,0.07267727775550979,0.18997104689335578,0.7241819414774707,0.0,0.013169733873663651,0.0,23.741901498221317,CIDADE ADEMAR
23,0.23506478205729608,0.585283607409239,1.6538571464962182,2.419617035370671,0.8420132266485076,9.032763178867846,0.21423181124568494,204.09790827407457,0.17648567963045775,1.0,2.0,1093.3575439218566,1023.9959870613596,83.28470056562566,0.3861339204675168,6521.437047740773,0.0793779965203444,0.1409630922767038,0.7642977360161111,0.0,0.01536117518684073,0.0,14.047567563339408,CIDADE DUTRA
24,0.16854188753862026,0.5700660542491032,1.455175336598616,2.683611289938071,0.6693924779766416,9.220717296797226,0.36475600734363295,164.072796549721,0.3867567612934974,2.0,2.0,2244.124967097062,1407.6944583680809,113.96890299868875,0.40762083985431335,13117.716927316384,0.060719789755481535,0.17508057314153302,0.7499550055725542,0.0,0.014244631530431276,0.0,19.57059513371955,CIDADE LIDER
25,0.24286151916323817,0.6251618684994379,1.4910835936210685,2.2431326126528943,1.4990779047833644,8.601232968947258,0.2345711520978442,163.43389294289847,0.18985625092792863,1.0,2.0,1156.9748255872667,562.9331785574709,83.02846135356273,0.2127184880717882,12982.95234969194,0.03082634191808293,0.16648085537504365,0.8026928027068734,0.0,0.0,0.0,14.871001051749012,CIDADE TIRADENTES
26,0.21485644453650643,0.7051866021279127,1.026553962858572,1.5262814452270923,0.8999845572146974,9.689350310609573,0.3751691360848634,337.26018991398246,2.316601966154557,2.0,15.0,903.2644288603656,35458.68990944705,70.24807514062043,0.6745197160165038,13796.07341963002,0.16934838562393897,0.34326292410791887,0.4771848120060903,0.0,0.010203878262051685,0.0,19.365173915646526,CONSOLACAO
27,0.2513521169283437,0.6590896065546624,1.2370154219222875,1.8156610763133134,0.8697898635223442,9.154742718816726,0.22320816263431165,115.79090920081312,0.5514714464059436,2.0,2.0,1673.4483522031042,2093.0708049299697,90.26656610832856,0.3661623424103163,8586.21285768311,0.10375783112650408,0.21376298713808142,0.6813415981874453,0.0,0.0011375835479691386,0.0,14.917462470677183,CURSINO
28,0.2209558668880428,0.6219593154406686,1.2088499114025226,2.049162597109176,1.013640229737021,9.192309116935967,0.36429649139328146,148.25274184323104,0.36140226795748637,1.0,2.0,1756.8119395906083,1409.2143374752138,105.47063233368907,0.38115414090405425,12030.596573542041,0.09298708549311628,0.2113067514791163,0.6844787817800472,0.0,0.011227381247720289,0.0,17.83544753119921,ERMELINO MATARAZZO
29,0.28181940449682985,0.5685727637834392,1.3372307522993438,2.2393862743730355,1.0601115814106645,9.092444232939428,0.331433347579082,246.15393007615916,0.5829380634902548,2.0,2.0,2507.510057032503,2063.1530322595736,139.52482116607158,0.38731263874063976,12455.799782700125,0.05642015333850618,0.0852238930514797,0.8476013840650432,0.0,0.00959527518864203,0.0011592943563289446,21.192185930919496,FREGUESIA DO O
30,0.28517426098603355,0.5747578585093567,1.4943279461246708,2.2770317146314962,1.1790810569600403,8.965462286752414,0.10518157739692474,135.37937974567416,0.04022510870535611,1.0,2.0,328.0350876111274,196.79363093068162,38.91084268651481,0.4523523565667569,4147.881712823334,0.025168459207125567,0.09555804274138838,0.8685853873381387,0.0,0.010688110713347347,0.0,7.822094482338741,GRAJAU
31,0.23612119688405825,0.6007775463651168,1.3654526496266188,2.254076790241236,0.9175520378512623,9.131420128181942,0.30222569819719985,203.42475287675484,0.26373461029204326,1.0,2.0,1632.938146639099,938.0842088373465,91.40247093752699,0.43629290414367894,12266.417045759272,0.04729835032975257,0.17693721264492718,0.7626692938667726,0.0,0.013095143158547642,0.0,16.736755887354054,GUAIANASES
32,0.10016232029682415,0.7891074644958462,0.8708756967819578,1.2423533456021298,0.5358670353703268,9.322861437535096,0.3565539834441532,303.5573388040876,1.5051726445787064,2.0,12.0,1009.2855773203389,11573.75079682981,93.4054534069243,0.598977384466408,8986.109595584128,0.13184440340767717,0.33787880649269963,0.49967535185280165,0.0,0.0029200037187757685,0.027681434528045685,20.132919321513114,MOEMA
33,0.2419996187914556,0.5851114998543423,1.4714274920989392,2.541156130244472,1.1790677158073954,8.760614875923515,0.188430358530762,131.41411913249914,0.10521885224367844,1.0,2.0,993.9647003043132,498.1538593847447,71.90185823970202,0.3554085672941454,7705.220597886365,0.04335370036961464,0.09050626731228914,0.8640392942895466,0.0,0.0021007380285494696,0.0,13.539738149482643,IGUATEMI
